ID,Time,Group,Amino,BNC,FNC,MAOC,POC,MAOC/SOC
2023W103,2023,EDG,8.669377935,1.0097041,3.443147299,20.16423529,5.007400904,34.96364837
2023W106,2023,NDG,5.771812951,0.403363803,2.80198249,25.73449412,1.567405216,42.70293064
2023W112,2023,NDG,6.317599744,0.721888141,2.531922638,18.56265882,3.888926407,31.82897603
2023W118,2023,NDG,8.926586806,0.950428863,3.363374717,18.56265882,5.120111682,31.82897603
2023W121,2023,SGE,8.287888593,0.590857753,5.849876529,18.80171626,3.142573499,52.27926888
2023W127,2023,SGE,10.18865202,0.219717379,6.756975,23.18337716,0.947736723,53.79972422
2023W133,2023,SGE,8.779145039,0.280464985,6.780061951,19.16084429,1.463740223,57.97883167
2023W136,2023,SGE,3.181005739,0.494478441,3.088282784,14.96752941,3.303674424,57.74509803
2023W142,2023,SGE,1.924185346,0.767720196,2.013186289,13.29162353,5.775970061,63.11312217
2023W148,2023,SGE,3.464815532,1.060193374,2.9973011,14.61938824,7.251968117,52.46694028
2023W151,2023,SGE,6.303291728,0.727346518,4.476232418,15.09077647,4.819808443,46.57647059
2023W157,2023,SGE,3.085662709,1.069025203,2.399862992,15.583391,6.860029393,60.12110725
2023W163,2023,SGE,4.401808982,0.208320541,2.834103499,20.94788927,0.994470318,49.73383018
