ID,Group,Time,complexity.b,complexity.f,AVD.b,AVD.f,MDS1.b,MDS1.f,Richness.b,Richness.f
TA5_5_19,NDG,2019,0.465620561,0.506403786,0.805656397,0.407627063,0.145383999,0.218497224,2019,2171
TA5_5_20,NDG,2020,0.490984937,0.247695306,0.608699582,0.311202221,-0.193830721,0.089751276,1872,581
TA5_5_21,NDG,2021,0.419434289,0.264252895,0.68393493,0.391763019,-0.182847572,-0.154760617,2037,811
TA5_5_22,NDG,2022,0.489334264,0.131235266,0.594928823,0.31733498,-0.061888489,-0.221022409,1846,449
TA5_5_23,NDG,2023,0.430399442,0.230482577,0.665885747,0.38552443,-0.029640507,0.058368899,2072,587
TC5_1_19,NDG,2019,0.441235137,0.50363319,0.723682188,0.405687237,0.32565885,0.230913609,2276,2214
TC5_1_20,NDG,2020,0.503862625,0.237455338,0.600949309,0.275305349,0.010369347,0.064091559,2390,441
TC5_1_21,NDG,2021,0.498159776,0.162109282,0.594253575,0.34125096,-0.015949437,0.047539755,2383,621
TC5_1_22,NDG,2022,0.504684343,0.148004771,0.602147932,0.397444712,0.016435958,-0.064829976,2451,621
TC5_1_23,NDG,2023,0.498320473,0.215092731,0.634265366,0.311868929,0.004806769,0.127369511,2245,433
TC5_2_19,NDG,2019,0.447354423,0.518125165,0.723040103,0.414706666,0.292845372,0.221250494,1908,2168
TC5_2_20,NDG,2020,0.50788196,0.233158803,0.57658142,0.302212647,0.024857467,-0.017919505,2060,438
TC5_2_21,NDG,2021,0.527922362,0.231254615,0.58044662,0.312479353,-0.08537519,0.141844847,1779,477
TC5_2_22,NDG,2022,0.503371942,0.180109962,0.587485557,0.373259144,-0.101144484,0.068335916,1916,392
TC5_2_23,NDG,2023,0.520254509,0.191867088,0.68921983,0.34524924,-0.147047504,-0.1124
